"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
7,694536,"Baker, Trent",31,22.6,0,0,0,0,0,,,0,2,90.5,43.5,2069,88.9,88.97,2,4,3,0.09999999999999432,6.44,94,149,123,147,301,326,271,"0.638","-0.638",,,2,2,0,0,0,0,0,0,0,0,2.45714,0.44143,0.08333,-0.17,"93.1",298,50,0,0,5.08,-1.98,-0.09,1.61,0,0,"-9.114285714",,,"9.114285714",,,,,50,,,,,,,
7,681041,"Perez, Marcelo",13,53.8,0,0,,0,0,,,0,2,,,2468,84.1,83.33,2,3,4,-0.7999999999999972,5.74,97,145,113,151,292,320,298,"0.557","-0.557",,,2,0,0,0,0,0,2,100,0,0,3.11429,0.14167,-0.84857,0.03429,"88.0",3,,,,5.76,-2.23,0.26,2.79,0,,"-7.957142857",,,"7.957142857",,,,,66.7,,,,,,,
7,676785,"Conley, Bryce",38,18.4,,,,,,,,,,,,2752,79.9,79.33,0,1,6,-0.6000000000000085,6.04,101,135,112,136,281,305,272,"-0.08","0.08",,,,,,,,,,,,,3.64,-0.04857,-1.24714,-0.15,"91.4",223,,,,5.35,-3.03,-1.39,2.66,,,"1.142857143",,,"-1.142857143",,,,,0,,,,,,,
7,660604,"Rangel, Alan",104,6.7,1,1.667,1,2.667,1.5,,,3,3,95.6,32,2292,85.8,86.1,0,3,4,0.29999999999999716,6.3,104,152,118,144,289,309,287,"-2.877","2.877",,,3,3,0,2,0,1,0,0,0,0,2.57143,0.50714,-0.39571,-0.39571,"97.2",309,66.66666666666666,33.33333333333333,33.33333333333333,6.24,0.23,-0.11,2.12,1,1,"41.1",,,"-41.1",,,,,0,,,,,,,
7,676393,"Leftwich, Jack",50,14,,,,,,,,,,,,2062,86.7,86.94,0,2,5,0.20000000000000284,6.24,121,149,125,152,305,323,297,"0.087","-0.087",,,,,,,,,,,,,2.52,0.49,-0.25286,0.01571,"88.0",94,,,,5.94,-1.49,0.46,1.83,,,"-1.242857143",,,"1.242857143",,,,,0,,,,,,,
7,801367,"Jachec, Matt",23,30.4,,,,,,,,,,,,2360,81.1,80.96,0,0,7,-0.09999999999999432,6.1,107,151,125,151,304,318,292,"0.069","-0.069",,,,,,,,,,,,,3.98714,-0.53143,-1.06286,-0.17143,,,,,,5.7,-2.37,-0.21,2.22,,,"-0.985714286",,,"0.985714286",,,,,,,,,,,,
7,682274,"Hiraldo, Yaramil",39,17.9,0,0,0,0,0,,,0,1,96.9,0,2309,86.4,86.34,2,3,4,-0.10000000000000853,6.13,116,149,122,148,293,310,294,"-0.133","0.133",,,1,1,0,0,0,0,0,0,0,0,2.66714,0.37429,-0.35,-0.29,"96.9",48,100,0,0,6.28,-0.65,0.64,2.17,0,0,"1.9",,,"-1.9",,,,,66.7,,,,,,,
7,691799,"Taylor, Grant",54,13,0,0,0,0,0,,,0,1,94.2,5,2526,90.1,91.33,0,2,5,1.2000000000000028,6.99,116,151,125,148,296,326,291,"0.336","-0.336",,,1,1,0,0,0,0,0,0,0,0,2.86286,-0.06143,-0.38286,-0.27714,"91.1",47,0,0,0,5.82,-0.91,0.28,3.2,0,0,"-4.8",,,"4.8",,,,,0,,,,,,,
7,801737,"Martinez, Liomar",29,24.1,,,,,0.7,,,0,0,,,2560,86.7,87.13,2,2,5,0.3999999999999915,6.43,119,144,113,146,279,317,283,"-0.164","0.164",,,1,0,0,0,0,0,0,0,1,100,2.89714,0.11857,-0.36143,0.21571,,,,,,5.85,-2.64,0.89,2.32,1,,"2.342857143",,,"-2.342857143",,,,,100,,,,,,,
7,676568,"Vanasco, Ricky",96,7.3,,,,,,,,,,,,2034,87.8,88.09,0,0,7,0.29999999999999716,6.51,102,151,123,146,294,321,286,"-0.311","0.311",,,,,,,,,,,,,2.63286,0.32714,-0.19571,-0.17,,,,,,5.85,-1.54,1.34,2.69,,,"4.442857143",,,"-4.442857143",,,,,,,,,,,,
