"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
64,669923,"Kirby, George",233,27.5,0.385,0.385,0.4,0.769,0.503,,,5,13,88.4,16.6,2447,87.1,87.12,5,22,42,0,6.44,108,145,116,143,294,318,303,"-1.986","1.986",,,,14,11,2,2,0,1,2,14.3,1,7.1,"3.35","-0.33","-0.81","-0.4","93.0",239,36.36363636363637,27.27272727272727,21.428571428571427,5.82,-1.68,0.45,1.68,0.429,3,"3.103125",,,"-3.103125",,,,,22.7,,,,,,,
60,623149,"Sewald, Paul",134,44.8,0.308,0.231,0.308,0.538,0.357,,,4,13,88.2,35.6,2482,82.4,82,7,29,31,-0.4000000000000057,6.16,110,149,120,148,302,324,298,"0.041","-0.041",,,,15,13,2,1,1,0,1,6.7,0,0,"2.95","0.43","-0.97","-0.35","91.1",182,15.384615384615385,7.6923076923076925,6.666666666666667,4.65,-3.6,0.17,2.09,0.333,1,"-0.068333333",,,"0.068333333",,,,,24.1,,,,,,,
58,677976,"Dobnak, Randy",184,31.5,0.2,0.067,0.273,0.267,0.264,,,3,15,90,8.2,2414,82.3,81.1,4,22,36,-1.2000000000000028,5.41,114,148,117,146,302,329,297,"0.874","-0.874",,,,17,11,2,1,0,0,4,23.5,0,0,"3.55","-0.19","-0.68","-0.12","92.9",105,45.45454545454545,9.090909090909092,5.88235294117647,5.6,-1.95,0.22,1.87,0.294,1,"-1.506896552",,,"1.506896552",,,,,18.2,,,,,,,
57,595014,"Treinen, Blake",149,38.3,0,0,0,0,0.174,,,0,9,75.9,17.3,2540,83.9,82.55,13,22,35,-1.4000000000000057,5.64,118,151,118,149,298,322,296,"0.792","-0.792",,,,12,3,0,0,0,0,6,50,3,25,"3.45","-0.18","-1.05","-0.34","89.7",84,0,0,0,6.31,-3.02,0.88,1.57,0.25,0,"-1.389473684",,,"1.389473684",,,,,59.1,,,,,,,
57,596271,"Lawrence, Casey",219,26,0.455,0.455,0.4,0.909,0.577,,,5,11,90.1,5.5,2654,79,78.11,7,23,34,-0.9000000000000057,5.82,113,148,118,147,301,322,303,"-1.835","1.835",,,,11,11,2,2,0,1,0,0,0,0,"3.36","0.31","-0.97","-0.27","96.7",204,54.54545454545454,9.090909090909092,9.090909090909092,5.11,-2.75,-0.13,2.06,0.455,1,"3.219298246",,,"-3.219298246",,,,,30.4,,,,,,,
57,656605,"Keller, Mitch",285,20,0.3,0.4,0.4,0.7,0.419,,,6,20,91.9,23.3,2552,82.3,82.28,10,36,21,0,6.42,110,148,120,148,287,311,284,"-1.607","1.607",,,,20,12,2,2,0,2,8,40,0,0,"3.27","0.11","-1.44","-0.36","92.5",169,50,16.666666666666664,10,5.66,-2.23,0.53,2.24,0.3,2,"2.819298246",,,"-2.819298246",,,,,27.8,,,,,,,
56,663855,"Hicks, Jordan",156,35.9,0,0,0,0,0.188,,,0,11,79.9,-24.8,2215,87.1,86.61,13,25,31,-0.5,6.01,115,148,118,149,296,322,299,"1.858","-1.858",,,,15,8,0,0,0,0,3,20,3,20,"2.93","0.08","-0.53","-0.09","88.9",45,12.5,0,0,5.64,-1.97,0.66,1.95,0.267,0,"-3.317857143",,,"3.317857143",,,,,52,,,,,,,
55,678906,"Teng, Kai-Wei",161,34.2,0.182,0.545,0,0.727,0.461,,,2,11,92.9,10.9,2694,84.5,83.96,11,21,34,-0.5,6.03,111,150,123,149,300,314,287,"-1.625","1.625",,,,15,7,0,0,0,2,4,26.7,3,20,"3.08","0.13","-1.13","-0.57","96.1",131,71.42857142857143,28.57142857142857,13.333333333333334,5.48,-2.1,0.67,2.12,0.4,2,"2.954545455",,,"-2.954545455",,,,,52.4,,,,,,,
55,670059,"Holderman, Colin",150,36.7,0.133,0,0.222,0.133,0.176,,,2,15,87.9,12.3,2531,84.6,84.5,15,30,25,-0.09999999999999432,6.27,109,149,121,146,294,323,296,"0.876","-0.876",,,,18,9,2,0,0,0,7,38.9,2,11.1,"2.77","0.42","-1.06","-0.31","91.2",153,33.33333333333333,11.11111111111111,5.555555555555555,5.78,-2.58,0.71,1.9,0.222,1,"-1.592727273",,,"1.592727273",,,,,50,,,,,,,
54,661527,"Martinez, Seth",145,37.2,0.375,0.25,0.417,0.625,0.429,,,6,16,90.5,16.7,2440,78.9,79.53,8,32,22,0.5999999999999943,6.76,108,147,122,146,283,310,289,"-1.461","1.461",,,,16,13,4,1,0,1,3,18.8,0,0,"2.99","0.68","-1.18","-0.23","94.1",131,53.84615384615385,15.384615384615385,12.5,4.6,-2.43,0.29,2.09,0.375,2,"2.705555556",,,"-2.705555556",,,,,25,,,,,,,
