"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
101,805299,"Garcia, Brandyn",153,66,0.273,0.182,0.3,0.455,0.453,,,3,11,97,-11.5,2272,95.6,93.57,8,29,72,-2,5.23,107,144,115,143,300,325,301,"-2.556","2.556",,,,20,10,1,2,0,0,2,10,6,30,"2.46","0.04","1.23","-0.27","94.8",117,80,10,5,5.51,1.88,-0.07,2.58,0.55,1,"2.530693069",,,"-2.530693069",,,,,27.6,,,,,,,
101,700712,"Ureña, Walbert",275,36.7,0.333,0.143,0.412,0.476,0.38,,,7,21,87.6,-12.2,2167,98.6,98.17,17,47,54,-0.3999999999999915,6,106,149,115,148,302,322,301,"-0.363","0.363",,,,23,17,4,3,0,0,4,17.4,2,8.7,"1.92","0.43","1.28","0.54","93.0",88,35.294117647058826,0,0,6.43,-1.31,-0.33,2.02,0.391,0,"0.359405941",,,"-0.359405941",,,,,36.2,,,,,,,
97,696270,"Johnson, Ryan",341,28.4,0.346,0.077,0.375,0.423,0.374,,,9,26,93.9,-6.5,2179,94,94.12,5,47,50,0.09999999999999432,6.27,110,148,116,149,299,326,294,"-0.084","0.084",,,,29,24,7,2,0,0,2,6.9,3,10.3,"2.12","0.45","1.07","0.13","94.7",116,54.166666666666664,8.333333333333332,6.896551724137931,5.95,-2.85,-0.23,2.51,0.414,2,"0.086597938",,,"-0.086597938",,,,,10.6,,,,,,,
97,686799,"Kochanowicz, Jack",268,36.2,0.269,0.154,0.304,0.423,0.35,,,7,26,87.2,-3,2155,96.6,96.9,10,49,48,0.30000000000001137,6.3,111,150,118,149,305,324,299,"-0.411","0.411",,,,30,23,3,4,0,0,3,10,4,13.3,"1.98","0.45","1.08","0.36","91.7",123,33.33333333333333,4.761904761904762,3.3333333333333335,6.38,-1.42,-0.07,2.34,0.367,1,"0.42371134",,,"-0.42371134",,,,,20.4,,,,,,,
96,605288,"Houser, Adrian",187,51.3,0.269,0.231,0.273,0.5,0.376,,,7,26,94.3,-4.8,2160,94.7,95.3,4,42,54,0.5999999999999943,6.66,109,151,119,149,313,340,299,"-0.791","0.791",,,,30,23,3,3,0,1,3,10,4,13.3,"1.94","0.61","1.31","0.51","94.3",111,47.82608695652174,4.3478260869565215,3.3333333333333335,5.78,-1.54,0.12,2.23,0.367,1,"0.823958333",,,"-0.823958333",,,,,9.5,,,,,,,
88,695076,"Lowder, Rhett",252,34.9,0.345,0.138,0.476,0.483,0.39,,,10,29,91.9,6,2279,93.2,93.03,2,40,48,-0.20000000000000284,6.22,104,145,115,146,291,315,296,"-2.467","2.467",,,,32,21,6,4,0,0,8,25,3,9.4,"2.07","0.56","1.46","0.51","94.6",169,55.00000000000001,10,6.25,5.63,-2.49,0,2.29,0.406,2,"2.803409091",,,"-2.803409091",,,,,5,,,,,,,
88,641835,"Mayza, Tim",150,58.7,0.35,0.2,0.462,0.55,0.416,,,7,20,91.4,1.1,2016,93.6,94.46,13,39,49,0.9000000000000057,6.83,108,149,118,146,288,313,281,"-1.557","1.557",,,,22,14,5,1,0,1,6,27.3,2,9.1,"1.83","0.78","1.3","-0.66","92.3",160,64.28571428571429,7.142857142857142,4.545454545454546,6.22,1.72,0.05,2.12,0.409,1,"1.769318182",,,"-1.769318182",,,,,33.3,,,,,,,
88,621237,"Alvarado, José",148,59.5,0.15,0.3,0.071,0.45,0.307,,,3,20,89.1,0,2077,98.3,99.05,7,41,47,0.7000000000000028,6.72,112,148,120,149,285,307,283,"1.34","-1.34",,,,23,16,1,0,0,2,4,17.4,3,13,"1.37","0.99","1.23","-0.33","92.4",137,56.25,6.25,4.3478260869565215,6.47,1.59,-0.2,2.51,0.261,1,"-1.522727273",,,"1.522727273",,,,,17.1,,,,,,,
87,678394,"Bello, Brayan",215,40.5,0.308,0.038,0.444,0.346,0.288,,,8,26,89,4.1,1984,94.3,94.43,13,43,44,0.10000000000000853,6.36,114,149,122,150,291,316,294,"1.188","-1.188",,,,26,18,7,1,0,0,8,30.8,0,0,"1.91","0.66","1.25","0.02","93.0",126,44.44444444444444,11.11111111111111,7.6923076923076925,5.87,-1.36,-0.01,2.32,0.308,2,"-1.365517241",,,"1.365517241",,,,,30.2,,,,,,,
84,689266,"Dodd, Dylan",154,54.5,0.231,0.231,0.222,0.462,0.323,,,3,13,97.6,2,2116,94,94.03,13,39,45,0,6.34,109,149,128,150,303,322,296,"0.791","-0.791",,,,14,10,2,0,0,1,3,21.4,1,7.1,"1.33","1.25","1.03","0.34","92.4",162,60,10,7.142857142857142,5.99,2.56,0,3.09,0.286,1,"-0.941666667",,,"0.941666667",,,,,33.3,,,,,,,
