"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
54,606996,"Hart, Kyle",203,26.6,0.286,0,0.4,0.286,0.284,,,4,14,89.3,10.1,1128,83.8,83.21,10,29,25,-0.5999999999999943,6.22,107,149,121,147,300,324,292,"0.017","-0.017",,,,15,10,4,0,0,0,4,26.7,1,6.7,3.44852,-0.16868,0.69556,-0.4337,"90.8",115,20,0,0,5.85,2.55,0.2,1.92,0.333,0,"-0.031481481",,,"0.031481481",,,,,34.5,,,,,,,
52,681217,"Silseth, Chase",191,27.2,0.222,0.333,0.3,0.556,0.343,,,4,18,90.7,22.8,1057,86.9,85.71,12,27,25,-1.2000000000000028,5.68,113,148,116,149,295,323,304,"-1.414","1.414",,,,19,11,0,3,0,1,7,36.8,1,5.3,2.88096,0.15827,0.85981,-0.31712,"94.0",192,45.45454545454545,36.36363636363637,21.052631578947366,6.03,-1.87,-0.29,1.57,0.263,4,"2.719230769",,,"-2.719230769",,,,,44.4,,,,,,,
50,667652,"Ralston, Jack",107,46.7,0.25,0,0.6,0.25,0.259,,,3,12,89.7,3,890,84.4,83.36,15,27,23,-1,5.58,109,146,120,148,284,309,287,"0.441","-0.441",,,,13,5,3,0,0,0,7,53.8,1,7.7,2.9018,0.30979,0.7962,0.1278,"89.8",105,40,0,0,7.17,-0.47,-0.1,2,0.308,0,"-0.882",,,"0.882",,,,,55.6,,,,,,,
50,808967,"Yamamoto, Yoshinobu",151,33.1,0.231,0.077,0.5,0.308,0.234,,,3,13,98.7,-4.8,1312,89.8,90.05,12,24,26,0.20000000000000284,6.41,114,149,120,148,305,323,296,"0.145","-0.145",,,,13,6,2,1,0,0,7,53.8,0,0,2.5486,0.2776,0.6306,0.009,"96.0",69,66.66666666666666,0,0,5.54,-1.86,-0.3,1.61,0.231,0,"-0.29",,,"0.29",,,,,50,,,,,,,
46,676775,"Winn, Keaton",101,45.5,0.111,0,0.25,0.111,0.208,,,1,9,92.7,-7.3,1488,89.6,89.56,11,27,19,0,6.22,108,149,119,149,305,336,303,"1.109","-1.109",,,,11,4,1,0,0,0,5,45.5,2,18.2,2.71913,0.11804,0.9663,0.23587,"91.4",78,66.66666666666666,0,0,6.11,-1.51,-0.19,1.72,0.273,0,"-2.410869565",,,"2.410869565",,,,,40.7,,,,,,,
41,676606,"Margevicius, Nick",175,23.4,0.364,0.091,0.5,0.455,0.357,,,4,11,79.4,3.4,1455,80.5,81.19,8,21,20,0.7000000000000028,6.72,108,150,118,147,304,329,292,"-2.151","2.151",,,,11,8,3,1,0,0,3,27.3,0,0,2.92195,0.59317,0.95634,-0.73927,"89.9",93,25,12.5,9.090909090909092,6.06,0.98,0.35,1.63,0.364,1,"5.246341463",,,"-5.246341463",,,,,38.1,,,,,,,
40,668964,"Myers, Tobias",185,21.6,0,0,0,0,0,,,0,13,77.3,24.2,1523,79.2,80.06,11,26,14,0.8999999999999915,6.65,114,149,124,150,286,313,284,"2.905","-2.905",,,,13,6,0,0,0,0,7,53.8,0,0,2.80825,0.79775,0.811,-0.266,"89.1",131,0,0,0,5.97,-0.87,-0.19,2,0,0,"-7.2625",,,"7.2625",,,,,42.3,,,,,,,
39,641816,"Mahle, Tyler",160,24.4,0,0,0,0,0.1,,,0,12,72.3,-16.6,1661,84.5,84.69,6,22,17,0.20000000000000284,6.41,108,150,119,149,302,330,302,"2.298","-2.298",,,,14,7,0,0,0,0,5,35.7,2,14.3,2.66154,0.53282,0.95513,0.03256,"88.7",74,0,0,0,5.57,-1.72,-0.07,1.51,0.143,0,"-5.892307692",,,"5.892307692",,,,,27.3,,,,,,,
38,671737,"Bradley, Taj",288,13.2,0.364,0.091,0.444,0.455,0.386,,,4,11,88,9.2,1643,91.4,92.04,1,19,19,0.5999999999999943,6.41,113,142,119,148,283,321,280,"-0.464","0.464",,,,12,9,3,1,0,0,2,16.7,1,8.3,2.15289,0.55053,0.80763,-0.59026,"90.9",121,33.33333333333333,0,0,6.2,-1.22,-0.17,2.61,0.417,0,"1.221052632",,,"-1.221052632",,,,,5.3,,,,,,,
36,665152,"Kremer, Dean",169,21.3,0,0,0,0,0.087,,,0,7,75.7,-23,1179,81.7,81.47,7,13,23,-0.20000000000000284,6.16,108,140,120,148,290,313,290,"0.667","-0.667",,,,8,2,0,0,0,0,5,62.5,1,12.5,2.56278,0.85556,0.86528,-0.56917,"92.8",88,0,0,0,6.13,-1.83,-0.13,1.97,0.125,0,"-1.852777778",,,"1.852777778",,,,,53.8,,,,,,,
