"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
37,621111,"Buehler, Walker",271,13.7,0.5,0.625,1,1.125,0.678,,,4,8,78.5,10.3,2540,75.8,75.73,6,15,22,-0.09999999999999432,6.46,117,148,121,151,295,323,299,"-2.506","2.506",,,,8,4,2,0,1,1,4,50,0,0,"5.12","-1.11","-1.05","0.47","88.7",125,0,0,0,5.83,-0.89,-0.23,2.02,0.5,0,"6.772972973",,,"-6.772972973",,,,,40,,,,,,,
30,605400,"Nola, Aaron",110,27.3,0.286,0,0.5,0.286,0.31,,,2,7,91,16,2550,77.6,77.58,6,13,17,0,6.51,108,149,122,147,297,314,285,"0.177","-0.177",,,,8,4,2,0,0,0,3,37.5,1,12.5,"4.67","-0.85","-1.21","-0.09","94.4",124,50,0,0,5.1,-1.71,0.26,1.74,0.375,0,"-0.59",,,"0.59",,,,,46.2,,,,,,,
29,607536,"Freeland, Kyle",140,20.7,0,0,0,0,0.116,,,0,5,89.1,8.3,2337,82.7,83.1,4,12,17,0.3999999999999915,6.47,114,151,116,146,299,319,246,"0.802","-0.802",,,,6,3,0,0,0,0,2,33.3,1,16.7,"3.81","-0.49","-0.01","0.02","93.5",79,33.33333333333333,0,0,5.86,2.66,0.19,2.11,0.167,0,"-2.765517241",,,"2.765517241",,,,,33.3,,,,,,,
28,669467,"Pallante, Andre",203,13.8,0.4,0,0.5,0.4,0.413,,,2,5,83.7,9.5,2657,77.2,77.6,1,9,19,0.3999999999999915,6.46,114,147,113,147,283,320,292,"-1.737","1.737",,,,6,4,2,0,0,0,1,16.7,1,16.7,"5.03","-1.22","-0.24","0.07","90.0",140,25,0,0,6.07,-1.44,0.3,1.49,0.5,0,"6.203571429",,,"-6.203571429",,,,,11.1,,,,,,,
28,656427,"Flaherty, Jack",199,14.1,0.25,0.5,0.333,0.75,0.414,,,2,8,83.5,-6.5,2381,78.2,78.33,6,14,14,0.09999999999999432,6.51,117,147,123,146,291,324,295,"-0.74","0.74",,,,8,4,0,1,0,1,4,50,0,0,"4.5","-0.75","-0.97","-0.24","93.8",99,50,50,25,5.38,-2.57,0.38,1.61,0.25,2,"2.642857143",,,"-2.642857143",,,,,42.9,,,,,,,
26,663893,"Little, Brendon",100,26,0.125,0,0.5,0.125,0.176,,,1,8,70.6,-21,2323,87.6,87.07,10,14,12,-0.5,5.99,103,150,122,146,299,322,288,"0.852","-0.852",,,,9,2,1,0,0,0,6,66.7,1,11.1,"4","-1.02","-0.39","0.26","92.3",69,50,0,0,6.36,1.76,-0.39,1.25,0.222,0,"-3.276923077",,,"3.276923077",,,,,71.4,,,,,,,
25,686973,"Varland, Louis",80,31.3,0.143,0.429,0,0.571,0.293,,,1,7,84.2,-1,2442,86.8,87.63,5,12,13,0.7999999999999972,6.78,119,151,130,147,303,325,296,"-0.466","0.466",,,,7,5,0,0,0,1,2,28.6,0,0,"3.58","-0.56","-0.39","-0.03","92.0",123,20,20,14.285714285714285,5.59,-2.88,-0.17,1.75,0.143,1,"1.864",,,"-1.864",,,,,41.7,,,,,,,
22,666142,"Ragans, Cole",279,7.9,1,0.5,1,1.5,1.076,,,2,2,103.2,13,2395,78.1,77.08,0,3,19,-1,5.78,110,150,113,149,304,311,266,"-0.884","0.884",,,,2,2,1,1,0,0,0,0,0,0,"4.89","-1.12","-0.85","0.39","98.1",163,100,0,0,6.35,1.46,-0.11,2.51,1,0,"4.018181818",,,"-4.018181818",,,,,0,,,,,,,
21,657746,"Ryan, Joe",175,12,0.3,0.1,0.5,0.4,0.34,,,3,10,86.9,19.2,2644,77.5,77.27,3,13,8,-0.20000000000000284,6.3,124,147,125,153,288,323,289,"-0.268","0.268",,,,11,6,2,1,0,0,4,36.4,1,9.1,"4.65","-0.82","-1.22","0.45","92.7",152,33.33333333333333,0,0,5.18,-2.41,0.22,1.9,0.364,0,"1.276190476",,,"-1.276190476",,,,,23.1,,,,,,,
21,519141,"Pomeranz, Drew",92,22.8,0.25,0,0.333,0.25,0.222,,,1,4,92.2,-2.3,2202,83.4,82.4,3,7,14,-1,5.62,105,149,116,147,305,321,301,"-0.388","0.388",,,,4,3,1,0,0,0,1,25,0,0,"4","-0.72","-0.31","0.15","92.4",117,66.66666666666666,0,0,6.23,2.07,-0.57,1.73,0.25,0,"1.847619048",,,"-1.847619048",,,,,42.9,,,,,,,
20,669923,"Kirby, George",233,8.6,0.5,0.5,0.5,1,0.631,,,1,2,102.7,3,2349,83,83.15,0,4,16,0.09999999999999432,6.49,115,146,117,149,299,321,306,"-0.411","0.411",,,,2,2,0,1,0,0,0,0,0,0,"4.33","-1","-0.74","0.35","95.4",91,100,0,0,5.88,-1.61,-0.09,1.68,0.5,0,"2.055",,,"-2.055",,,,,0,,,,,,,
18,592662,"Ray, Robbie",306,5.9,0,0,0,0,0.174,,,0,3,108.6,22,2136,81.1,80.23,3,4,14,-0.8999999999999915,5.8,116,153,123,149,309,337,295,"-0.003","0.003",,,,4,1,0,0,0,0,2,50,1,25,"3.89","-0.41","-0.07","0","108.6",421,100,100,25,6.2,2.76,-0.51,1.51,0.25,1,"0.016666667",,,"-0.016666667",,,,,75,,,,,,,
18,518886,"Kimbrel, Craig",106,17,0.2,0.2,0.25,0.4,0.252,,,1,5,74,-9.5,2610,82,81.93,1,6,12,-0.09999999999999432,6.38,111,148,115,147,287,316,280,"0.383","-0.383",,,,5,4,0,1,0,0,1,20,0,0,"4.12","-0.71","-1.18","-0.46","90.6",106,25,0,0,5.06,-2.99,0.44,1.64,0.2,0,"-2.127777778",,,"2.127777778",,,,,16.7,,,,,,,
17,656302,"Cease, Dylan",170,10,,,,,,,,,,,,2655,81.2,81.15,0,0,17,-0.10000000000000853,6.29,110,147,117,150,294,324,295,"-0.367","0.367",,,,,,,,,,,,,,"4.68","-1.21","-0.29","0.13",,,,,,6.26,-1.64,-0.23,2.46,,,"2.158823529",,,"-2.158823529",,,,,,,,,,,,
17,596295,"Gomber, Austin",228,7.5,0,0,0,0,0,,,0,3,98,8.5,2504,76.5,76.82,1,4,13,0.29999999999999716,6.47,103,151,121,148,300,323,298,"0.497","-0.497",,,,3,2,0,0,0,0,1,33.3,0,0,"4.95","-1.05","-0.5","0.47","94.6",123,100,0,0,6.74,1.69,-0.27,1.56,0,0,"-2.923529412",,,"2.923529412",,,,,25,,,,,,,
17,681924,"Dabovich, R.J.",44,38.6,0.333,0.167,0.4,0.5,0.359,,,2,6,87.9,11.8,2468,85.3,85.01,1,6,11,-0.29999999999999716,6.19,106,150,115,148,319,333,297,"-0.415","0.415",,,,6,5,1,1,0,0,1,16.7,0,0,"3.59","-0.44","-0.26","-0.16","94.4",114,40,0,0,6.39,-1.98,0.45,2.36,0.333,0,"2.441176471",,,"-2.441176471",,,,,16.7,,,,,,,
17,668873,"Kilian, Caleb",135,12.6,0.143,0,0.5,0.143,0.127,,,1,7,81.6,-26,2628,80.9,80.99,5,10,7,0.09999999999999432,6.61,118,147,118,149,303,327,303,"0.71","-0.71",,,,7,2,1,0,0,0,5,71.4,0,0,"4.73","-1.21","-0.86","0.26","88.5",4,0,0,0,5.85,-2.47,0.02,1.35,0.143,0,"-4.176470588",,,"4.176470588",,,,,50,,,,,,,
14,829272,"Ogasawara, Shinnosuke",62,22.6,0,0,0,0,0,,,0,3,88.6,23,2670,73.6,72.37,0,2,12,-1.1999999999999886,5.76,107,150,119,147,298,320,282,"0.348","-0.348",,,,3,1,0,0,0,0,2,66.7,0,0,"5.76","-1.48","-0.87","0.63","88.5",154,0,0,0,5.77,1.29,0.16,3.16,0,0,"-2.485714286",,,"2.485714286",,,,,0,,,,,,,
14,689017,"Knack, Landon",116,12.1,0,0,0,0,0,,,0,2,90.1,31,2806,81,79.74,0,2,12,-1.2999999999999972,5.62,117,150,112,150,294,322,297,"0.416","-0.416",,,,2,2,0,0,0,0,0,0,0,0,"4.6","-1.1","-0.48","0.03","92.4",166,50,0,0,6.14,-1.23,0.12,2.75,0,0,"-2.971428571",,,"2.971428571",,,,,0,,,,,,,
14,621121,"McCullers Jr., Lance",118,11.9,0.2,0,0.333,0.2,0.178,,,1,5,88.5,14.7,2918,81.1,80.56,3,9,5,-0.5,6.06,119,147,138,153,293,325,302,"0.235","-0.235",,,,5,3,1,0,0,0,2,40,0,0,"4.33","-0.84","-1.12","0.97","95.0",104,33.33333333333333,0,0,5.52,-1.36,0.5,1.54,0.2,0,"-1.678571429",,,"1.678571429",,,,,33.3,,,,,,,
13,700270,"Díaz, Yilber",81,16,0,0,,0,0,,,0,1,,,2726,79.5,78.18,1,2,11,-1.2999999999999972,5.49,111,148,125,150,298,323,301,"-0.13","0.13",,,,1,0,0,0,0,0,1,100,0,0,"4.86","-1.23","-0.13","0.03","88.0",13,,,,6.14,-1.18,0.42,1.4,0,,"1",,,"-1",,,,,50,,,,,,,
12,592826,"Velasquez, Vince",38,31.6,0,0,,0,0,,,0,1,,,2329,81.6,81.72,1,4,8,0.10000000000000853,6.32,101,148,109,147,295,323,295,"0.592","-0.592",,,,1,0,0,0,0,0,1,100,0,0,"3.83","-0.41","-0.16","0","88.0",104,,,,5.72,-1.87,-0.23,1.92,0,,"-4.933333333",,,"4.933333333",,,,,25,,,,,,,
12,672456,"Montero, Keider",70,17.1,0.5,0.5,0.5,1,0.631,,,1,2,93.5,2,2929,81.5,81.31,2,6,6,-0.20000000000000284,6.28,102,141,121,141,291,328,286,"-0.351","0.351",,,,2,2,0,1,0,0,0,0,0,0,"4.06","-0.61","-0.89","-0.03","97.8",130,50,0,0,5.95,-1.91,-0.16,2.26,0.5,0,"2.925",,,"-2.925",,,,,33.3,,,,,,,
11,676910,"Seelinger, Matt",87,12.6,0.5,0,1,0.5,0.445,,,1,2,89.9,-54,1489,80.6,80.42,2,4,7,-0.19999999999998863,6.25,111,149,117,148,294,322,287,"-0.497","0.497",,,,2,1,1,0,0,0,1,50,0,0,"3.9","-0.38","-0.08","-0.01","88.9",98,0,0,0,5.91,0.04,0.35,1.94,0.5,0,"4.518181818",,,"-4.518181818",,,,,50,,,,,,,
10,676661,"Lazar, Max",49,20.4,1,0,1,1,0.794,,,1,1,109.8,-19,2492,80.9,81.35,1,2,8,0.3999999999999915,6.8,106,149,118,145,295,310,278,"-0.615","0.615",,,,2,1,1,0,0,0,0,0,1,50,"4.69","-1.2","-0.27","-0.26","109.8",5,100,0,0,6.02,-0.58,0.15,1.89,1,0,"6.15",,,"-6.15",,,,,50,,,,,,,
9,663738,"Lynch IV, Daniel",162,5.6,1,0,1,1,0.89,,,1,1,100.5,-9,2275,82,81.54,1,4,5,-0.5,5.94,104,151,119,147,306,325,291,"-0.54","0.54",,,,1,1,1,0,0,0,0,0,0,0,"3.61","-0.22","-0.17","0.17","94.6",8,100,0,0,6.34,1.74,-0.05,2.23,1,0,"6",,,"-6",,,,,25,,,,,,,
6,543037,"Cole, Gerrit",36,16.7,0,0,0,0,0,,,0,2,84.5,8.5,2797,82.7,81.83,1,4,2,-0.9000000000000057,5.87,109,146,125,152,290,322,300,"0.621","-0.621",,,,2,2,0,0,0,0,0,0,0,0,"4.53","-1.17","-0.84","0.36","93.7",186,50,0,0,6.01,-2.47,0.19,2.09,0,0,"-10.35",,,"10.35",,,,,25,,,,,,,
6,657508,"Baumann, Mike",21,28.6,1,0,1,1,0.89,,,1,1,95.8,-16,2165,85.6,85.73,0,2,4,0.10000000000000853,6.45,,,,,,,,"-0.681","0.681",,,,1,1,1,0,0,0,0,0,0,0,"3.56","-0.44","-0.06","0.03","91.9",6,100,0,0,5.96,-1.62,0.32,1.54,1,0,"11.35",,,"-11.35",,,,,0,,,,,,,
5,661395,"Duran, Jhoan",80,6.3,0.333,0,1,0.333,0.297,,,1,3,109.2,8,2611,87.5,86.92,3,4,1,-0.5999999999999943,5.66,127,148,125,152,277,314,291,"0.146","-0.146",,,,3,1,1,0,0,0,2,66.7,0,0,"3.51","-0.56","-0.16","0.16","109.2",232,100,0,0,6.2,-2.28,0.3,2.03,0.333,0,"-2.92",,,"2.92",,,,,75,,,,,,,
5,671936,"Macko, Adam",47,10.6,0,0,0,0,0,,,0,1,101,18,2791,78.8,77.74,0,1,4,-1.0999999999999943,5.74,99,151,122,148,300,329,284,"0.1","-0.1",,,,1,1,0,0,0,0,0,0,0,0,"5.1","-1.4","-0.63","0.63","101.0",322,100,0,0,5.87,1.49,0.05,2.01,0,0,"-2",,,"2",,,,,0,,,,,,,
5,680744,"Madden, Ty",81,6.2,1,0,1,1,0.89,,,1,1,75.1,22,2450,79.6,78.88,0,2,3,-0.6999999999999886,5.74,110,151,117,149,277,321,303,"-0.49","0.49",,,,1,1,1,0,0,0,0,0,0,0,"4.47","-0.87","-0.13","-0.1","88.0",221,0,0,0,6.22,-1.33,0.86,1.31,1,0,"9.8",,,"-9.8",,,,,0,,,,,,,
4,641540,"Dunning, Dane",121,3.3,0,0,,0,0,,,0,2,,,2309,75.3,75.47,2,2,2,0.20000000000000284,6.7,117,151,120,146,299,328,285,"0.469","-0.469",,,,2,0,0,0,0,0,2,100,0,0,"5.28","-1.22","-0.81","-0.38",,,,,,5.75,-2.19,0.72,1.27,0,,"-11.725",,,"11.725",,,,,100,,,,,,,
4,686599,"Brnovich, Kyle",24,16.7,,,,,,,,,,,,1467,84.4,85.08,0,1,3,0.6999999999999886,6.85,109,150,122,146,285,301,283,"-0.13","0.13",,,,,,,,,,,,,,"4.02","-0.8","-0.58","-0.21","88.0",3,,,,6.17,-2.4,0.59,1.56,,,"3.25",,,"-3.25",,,,,0,,,,,,,
4,664299,"Javier, Cristian",178,2.2,,,,,,,,,,,,2969,75.2,74.05,0,0,4,-1.2000000000000028,5.65,125,148,131,154,299,327,315,"-0.217","0.217",,,,,,,,,,,,,,"5.13","-1.07","-0.79","0.79",,,,,,5.53,-1.59,-0.76,2.44,,,"5.425",,,"-5.425",,,,,,,,,,,,
3,543056,"Coulombe, Danny",40,7.5,0,0,0,0,0,,,0,1,98.3,4,2754,78.6,77.27,0,1,2,-1.2999999999999972,5.6,105,149,118,140,274,302,281,"0.142","-0.142",,,,1,1,0,0,0,0,0,0,0,0,"5.22","-1.49","-0.43","0.43","98.3",99,100,0,0,6.27,-0.48,0.48,1.33,0,0,"-4.733333333",,,"4.733333333",,,,,0,,,,,,,
3,701000,"Och, Ryan",63,4.8,,,,,,,,,,,,881,81.1,80.27,0,0,3,-0.7999999999999972,5.97,105,152,125,146,289,318,276,"-0.092","0.092",,,,,,,,,,,,,,"3.94","-0.45","0.66","-0.66",,,,,,5.4,2.04,1.25,2.4,,,"3.066666667",,,"-3.066666667",,,,,,,,,,,,
2,682243,"Miller, Bryce",21,9.5,,,,,,,,,,,,2333,83.6,83.5,0,0,2,0,6.25,126,145,117,144,283,325,313,"0.04","-0.04",,,,,,,,,,,,,,"4.3","-1.03","-0.28","0.28",,,,,,5.96,-1.09,0.86,1.43,,,"-2",,,"2",,,,,,,,,,,,
1,476594,"Stock, Robert",40,2.5,,,,,,,,,,,,2654,82.8,82.6,0,0,1,-0.20000000000000284,6.2,123,147,128,153,270,315,298,"-0.041","0.041",,,,,,,,,,,,,,"3.81","-0.48","-1.08","1.08",,,,,,4.96,-3.89,-1.94,1.75,,,"4.1",,,"-4.1",,,,,,,,,,,,
1,656638,"Lange, Alex",150,0.7,,,,,,,,,,,,2081,84.5,83.9,0,0,1,-0.5999999999999943,6,86,153,120,144,310,317,282,"-0.073","0.073",,,,,,,,,,,,,,"3.37","-0.15","0.14","0.14",,,,,,5.98,-2.41,-1.34,3.31,,,"7.3",,,"-7.3",,,,,,,,,,,,
