"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
52,699151,"Paez, Jedixson",205,25.4,0.182,0,0.2,0.182,0.207,,,2,11,85.5,37.2,2720,79,78.99,2,20,32,0,6.58,107,149,123,147,306,330,297,"0.485","-0.485",,,,12,10,2,0,0,0,1,8.3,1,8.3,4.35865,-0.66462,-1.37654,-0.83885,"89.9",110,10,0,0,5.8,-3.25,0.19,2.41,0.25,0,"-0.932692308",,,"0.932692308",,,,,10,,,,,,,
52,694819,"Misiorowski, Jacob",215,24.2,0.167,0.083,0.4,0.25,0.222,,,2,12,89.3,-5.6,2261,85.6,87.24,11,22,30,1.6000000000000085,7.15,113,148,117,149,296,320,300,"0.741","-0.741",,,,13,5,1,1,0,0,7,53.8,0,0,3.77269,-0.68019,-0.59558,0.05173,"92.5",115,60,20,7.6923076923076925,5.53,-1.65,0.1,2.07,0.231,1,"-1.425",,,"1.425",,,,,50,,,,,,,
50,702070,"Cameron, Noah",291,17.2,0.111,0,0.2,0.111,0.252,,,1,9,81.1,50,2239,80.6,80.54,3,14,36,-0.09999999999999432,6.23,106,149,122,147,298,314,291,"-0.463","0.463",,,,12,5,1,0,0,0,4,33.3,2,16.7,4.1224,-0.6112,-0.2482,0.089,"88.0",156,0,0,0,6.38,1.2,-0.12,2.39,0.333,0,"0.926",,,"-0.926",,,,,21.4,,,,,,,
50,592717,"Sanchez, Aaron",152,32.9,0.167,0.167,0.286,0.333,0.21,,,2,12,92.4,32,2532,78.7,79.8,8,20,30,1.0999999999999943,6.99,108,150,118,149,296,317,295,"0.117","-0.117",,,,12,7,0,2,0,0,5,41.7,0,0,4.0812,-0.4026,-1.0626,-0.2138,"94.2",184,42.857142857142854,14.285714285714285,8.333333333333332,5.5,-1.5,0.1,1.67,0.167,1,"-0.234",,,"0.234",,,,,40,,,,,,,
49,572955,"Johnson, Pierce",112,43.8,0.4,0.1,0.4,0.5,0.421,,,4,10,99.9,7.1,2836,85.5,84.36,5,18,31,-1.0999999999999943,5.45,112,148,111,150,292,321,297,"-1.299","1.299",,,,11,10,3,1,0,0,0,0,1,9.1,3.46449,-0.35469,-0.55347,0.12816,"98.0",133,70,20,18.181818181818183,6.3,-1.61,-0.18,2.31,0.455,2,"2.651020408",,,"-2.651020408",,,,,27.8,,,,,,,
49,623454,"Anderson, Drew",217,22.6,0,0,0,0,0.14,,,0,4,68,-21,2711,80.4,79.71,2,11,38,-0.7000000000000028,6.25,113,146,116,149,291,322,287,"0.822","-0.822",,,,5,2,0,0,0,0,2,40,1,20,4.84286,-1.25918,-0.83306,0.09918,"89.6",60,0,0,0,5.9,-1.96,0.17,1.81,0.2,0,"-1.67755102",,,"1.67755102",,,,,18.2,,,,,,,
48,702281,"Snelling, Robby",160,30,0.385,0.077,0.556,0.462,0.371,,,5,13,89.9,11.4,2535,82.8,82.72,3,20,28,-0.09999999999999432,6.2,114,147,126,148,284,307,279,"-0.731","0.731",,,,13,9,4,1,0,0,4,30.8,0,0,4.00125,-0.67646,-0.84604,0.21188,"93.3",152,55.55555555555556,0,0,5.61,2.89,0.28,2.23,0.385,0,"1.522916667",,,"-1.522916667",,,,,15,,,,,,,
47,669022,"Gore, MacKenzie",251,18.7,0.214,0.071,0.3,0.286,0.249,,,3,14,92.4,11.1,2287,81.6,82.28,3,19,28,0.7000000000000028,6.81,109,147,118,147,301,317,302,"-0.097","0.097",,,,15,10,2,1,0,0,4,26.7,1,6.7,4.35064,-0.92064,-0.21826,0.12522,"93.8",137,50,10,6.666666666666667,5.61,1.61,-0.29,1.78,0.267,1,"0.206382979",,,"-0.206382979",,,,,15.8,,,,,,,
47,671737,"Bradley, Taj",288,16.3,0.222,0.333,0.25,0.556,0.326,,,2,9,82.3,26.2,2433,81.9,81.71,5,15,32,-0.20000000000000284,6.28,115,146,122,149,284,318,282,"-2.376","2.376",,,,9,5,1,0,0,1,4,44.4,0,0,4.57468,-1.16064,-0.28532,0.09894,"91.3",167,20,20,11.11111111111111,6.36,-0.99,-0.15,2.26,0.222,1,"5.055319149",,,"-5.055319149",,,,,33.3,,,,,,,
47,690953,"Abel, Mick",329,14.3,0.143,0,0.333,0.143,0.127,,,1,7,84.9,-13.7,2651,81.4,82.26,4,13,34,0.8999999999999915,6.9,118,147,123,150,278,318,282,"-0.55","0.55",,,,7,3,1,0,0,0,4,57.1,0,0,4.18745,-0.74255,-0.98085,0.28638,"90.1",40,33.33333333333333,0,0,5.54,-1.59,0.28,1.59,0.143,0,"1.170212766",,,"-1.170212766",,,,,30.8,,,,,,,
