"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","miss_distance","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
19,500779,"Quintana, Jose",144,13.2,0.5,0.25,0.667,0.75,0.57,,,2,4,94.2,12,2261,80.4,80.46,2,9,10,0.09999999999999432,6.25,115,145,114,146,300,323,290,"-1.035","1.035",,,,5,3,1,1,0,0,1,20,1,20,3.58158,-0.06211,-0.60789,-0.07632,"96.0",148,33.33333333333333,33.33333333333333,20,5.76,2.31,-0.78,1.59,0.6,1,"5.447368421",,,"-5.447368421",,,,,22.2,,,,,,,
18,672335,"Pérez, Cionel",80,22.5,0.143,0,0.2,0.143,0.127,,,1,7,79.4,13.6,2517,84.1,83.18,4,10,8,-0.8999999999999915,5.77,113,146,126,152,294,322,302,"0.817","-0.817",,,,7,5,1,0,0,0,2,28.6,0,0,3.53278,-0.29889,-0.84889,-0.59,"89.8",98,20,0,0,5.52,1.42,0.16,1.54,0.143,0,"-4.538888889",,,"4.538888889",,,,,40,,,,,,,
12,607625,"Lugo, Seth",154,7.8,0.333,0,0.5,0.333,0.297,,,1,3,102.7,21,2955,77.7,76.32,1,6,6,-1.4000000000000057,5.57,113,150,126,150,300,322,298,"-0.15","0.15",,,,3,2,1,0,0,0,1,33.3,0,0,4.14917,-0.32667,-1.5375,-0.57583,"95.4",231,100,50,33.33333333333333,5.35,-2.15,0.34,2.52,0.333,1,"1.25",,,"-1.25",,,,,16.7,,,,,,,
10,608344,"Irvin, Cole",131,7.6,1,0,1,1,0.89,,,1,1,101.5,8,2211,76.5,76.13,1,5,5,-0.4000000000000057,6.22,100,153,122,146,300,328,299,"-0.349","0.349",,,,1,1,1,0,0,0,0,0,0,0,4.26,-0.329,-1.103,0.867,"92.5",68,100,0,0,6.03,1.47,-0.13,2.06,1,0,"3.49",,,"-3.49",,,,,20,,,,,,,
10,682790,"González, Wikelman",84,11.9,0,0,0,0,0,,,0,2,75.7,-16,2617,80,80.26,1,2,8,0.29999999999999716,6.64,118,149,125,149,294,330,302,"0.021","-0.021",,,,2,1,0,0,0,0,1,50,0,0,3.976,-0.43556,-1.301,-0.151,"88.0",7,0,0,0,5.41,-1.84,1.46,2.03,0,0,"-0.21",,,"0.21",,,,,50,,,,,,,
9,688497,"Rashi, Taylor",89,10.1,0,0,0,0,0,,,0,2,91.3,3,2287,80.3,81,1,4,5,0.7000000000000028,6.79,115,145,118,145,291,311,295,"0.413","-0.413",,,,2,1,0,0,0,0,1,50,0,0,4.67111,-1.13111,0.0475,-0.0825,"89.1",82,0,0,0,6.48,0.13,-0.05,0.68,0,0,"-4.588888889",,,"4.588888889",,,,,25,,,,,,,
8,695835,"Núñez, Edwin",26,30.8,0,0,,0,0,,,0,2,,,2681,84.1,84.36,2,5,3,0.30000000000001137,6.38,120,149,118,151,300,324,298,"0.379","-0.379",,,,2,0,0,0,0,0,2,100,0,0,2.96625,0.24625,-0.44125,0.09375,"88.0",214,,,,5.51,-2.58,0.46,1.41,0,,"-4.7375",,,"4.7375",,,,,40,,,,,,,
7,702352,"Bivens, Spencer",176,4,0.333,0,0.333,0.333,0.297,,,1,3,97.4,12,2284,80.7,81.28,0,4,3,0.5999999999999943,6.4,110,152,123,151,307,330,298,"-0.188","0.188",,,,3,3,1,0,0,0,0,0,0,0,3.83143,-0.35571,-0.55571,-0.15857,"97.4",97,66.66666666666666,0,0,5.83,-1.94,0.16,1.45,0.333,0,"2.685714286",,,"-2.685714286",,,,,0,,,,,,,
6,657571,"Ferguson, Caleb",44,13.6,1,0,1,1,0.89,,,2,2,95.8,12,2967,78.9,78.77,0,2,4,-0.10000000000000853,6.35,107,141,110,144,296,311,294,"-1.092","1.092",,,,2,2,2,0,0,0,0,0,0,0,4.78,-1.095,-0.89667,0.64333,"95.8",197,50,0,0,5.89,2.39,-0.66,1.61,1,0,"18.2",,,"-18.2",,,,,0,,,,,,,
6,689546,"Davila, Nick",92,6.5,0,0,,0,0,,,0,2,,,2312,85.3,84.55,2,2,4,-0.7999999999999972,5.97,117,151,119,147,288,314,298,"0.297","-0.297",,,,2,0,0,0,0,0,2,100,0,0,4.13,-0.97667,-0.7,0.00333,"88.0",,,,,6.11,-1.36,-0.71,2.36,0,,"-4.95",,,"4.95",,,,,100,,,,,,,
5,694559,"Jones, Nick",11,45.5,0,0,,0,0,,,0,2,,,2057,78.9,78.82,3,3,2,-0.10000000000000853,6.4,110,142,105,146,292,320,304,"0.427","-0.427",,,,2,0,0,0,0,0,2,100,0,0,4.142,-0.454,-0.792,-0.044,,,,,,5.63,1.81,-0.74,1.36,0,,"-8.54",,,"8.54",,,,,100,,,,,,,
3,669285,"Hammer, Dan",17,17.6,0,0,,0,0,,,0,1,,,2370,84.6,84.6,2,2,1,0,6.43,117,152,122,148,297,312,278,"0.246","-0.246",,,,1,0,0,0,0,0,1,100,0,0,3.30667,-0.1,-0.97,-0.97,,,,,,5.63,-0.96,0.78,0.96,0,,"-8.2",,,"8.2",,,,,100,,,,,,,
2,676606,"Margevicius, Nick",175,1.1,,,,,,,,,,,,2127,80,81.1,0,0,2,1.0999999999999943,6.75,115,151,120,152,306,322,294,"-0.137","0.137",,,,,,,,,,,,,,3.61,-0.075,-0.78,-0.06,,,,,,5.97,0.87,-1.05,0.91,,,"6.85",,,"-6.85",,,,,,,,,,,,
2,544150,"Suárez, Albert",200,1,0,0,0,0,0,,,0,1,78.7,70,2000,81.6,82.55,0,2,0,0.9000000000000057,6.7,86,154,126,150,305,324,270,"0.172","-0.172",,,,1,1,0,0,0,0,0,0,0,0,2.91,0.49,-0.18,-0.18,"88.0",65,0,0,0,6.05,-1.58,0.48,2.2,0,0,"-8.6",,,"8.6",,,,,0,,,,,,,
