"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
33,694477,"Patrick, Chad",2015,1.6,0.182,0,0.333,0.182,0.205,0.251,0.173,2,11,84.2,-1.7,2495,85.9,85.95,5,14,19,0,6.2,115,151,130,151,302,330,302,"0.202","-0.202","63.3","7.2",12,6,2,0,0,0,5,41.7,1,8.3,3.35212,-0.27303,-0.42939,-0.14152,"92.7",103,50,16.666666666666664,8.333333333333332,5.56,-1.2,0.52,1.22,0.25,1,"-0.612121212",0.242,0.327,"0.612121212",0.009,0.008000000000000007,-0.145,-0.046,35.7,"36.3",10.22096581149783,-0.16169160593215803,35.371014198183936,0.35714285714285715,34.571184155311855,33.23844073630931
25,666171,"Zeferjahn, Ryan",1039,2.4,0,0,0,0,0,0.152,0.15,0,6,88.8,-12.7,2730,83.9,84.34,8,14,11,0.3999999999999915,6.5,108,143,118,143,300,323,297,"1.538","-1.538","63.9","7.6",6,3,0,0,0,0,3,50,0,0,3.9084,-0.6712,-0.9228,-0.1572,"91.4",66,66.66666666666666,0,0,6.02,-1.65,0.01,1.48,0,0,"-6.152",0.15,0.198,"6.152",-0.15,-0.15,-0.198,-0.152,57.1,"43.2",12.836107724267686,-3.5945534164867876,31.211681120964524,0.35714285714285715,37.99697548617523,34.86411767982736
24,592254,"De León, José",101,23.8,0.111,0,0.333,0.111,0.098,0.086,0.092,1,9,80.2,2.3,2606,74.6,74.6,11,16,8,0,6.48,110,148,125,148,277,315,288,"1.124","-1.124","69.8","8.4",9,3,1,0,0,0,6,66.7,0,0,4.56208,-0.43458,-1.29542,0.03042,"89.9",35,33.33333333333333,0,0,4.85,-2.11,0.09,1.58,0.111,0,"-4.683333333",0.092,0.099,"4.683333333",0.019,0.019000000000000003,0.012,0.012,68.8,"29.1",24.678216033275973,-28.734989194146937,34.14401087237129,0.1875,36.79881120199892,48.90482792303845
24,666215,"Whitley, Forrest",256,9.4,0.4,0.2,0.667,0.6,0.427,0.463,0.298,2,5,95,23,2797,83.6,83.52,1,7,17,-0.09999999999999432,6.55,115,151,122,148,295,322,292,"-1.019","1.019","67.0","7.5",5,3,1,1,0,0,2,40,0,0,3.91875,-0.61625,-1.24125,-0.28375,"94.9",285,66.66666666666666,33.33333333333333,20,6.11,-1.54,0.34,2.29,0.4,1,"4.245833333",0.298,0.829,"-4.245833333",0.102,0.10200000000000004,-0.229,-0.036,14.3,"38.3",10.690302440565302,-4.468829364670516,29.810695448953044,0.2857142857142857,39.503292061042,34.355692161758
23,544150,"Suárez, Albert",177,13,0.5,0,0.5,0.5,0.441,0.186,0.186,1,2,84.1,27,2478,81,81.64,1,6,17,0.5999999999999943,6.72,110,151,119,145,302,323,292,"-0.157","0.157","56.2","7.1",2,2,1,0,0,0,0,0,0,0,3.64348,-0.17318,-0.48609,-0.48609,"88.5",180,0,0,0,6.1,-1.54,0.79,1.52,0.5,0,"0.682608696",0.186,0.248,"-0.682608696",0.314,0.314,0.252,0.255,16.7,"36.8",9.631902775934519,0.48224224742096666,32.2803464350698,0.75,44.550733045048474,32.9502613389896
21,806185,"Birdsong, Hayden",1195,1.8,0.333,1,0,1.333,0.679,0.731,0.527,1,3,91,21.3,2650,84.6,84.9,2,9,12,0.30000000000001137,6.4,111,151,121,149,293,323,295,"-0.632","0.632","63.2","7.2",3,3,0,0,0,1,0,0,0,0,3.46381,-0.28571,-0.18143,0.03476,"95.5",215,66.66666666666666,33.33333333333333,33.33333333333333,6.54,-1.84,0.11,2.03,0.333,1,"3.00952381",0.527,1.236,"-3.00952381",-0.194,-0.194,0.097,-0.052,22.2,"47.5",12.988608537525801,-11.361117425652202,27.104273573301935,0.4444444444444444,35.12281980971123,38.174664860289205
17,623167,"Flexen, Chris",673,2.5,0.333,0,0.333,0.333,0.294,0.227,0.237,1,3,86.3,7,2623,77.6,76.98,0,6,11,-0.5999999999999943,6.19,107,149,116,151,297,320,295,"-0.521","0.521","68.9","7.5",3,3,1,0,0,0,0,0,0,0,5.23941,-1.40647,-0.38176,-0.08882,"91.3",81,33.33333333333333,0,0,6.79,-0.72,-0.74,1.49,0.333,0,"3.064705882",0.237,0.291,"-3.064705882",0.096,0.09600000000000003,0.042,0.067,0,"67.6",8.141408301587642,-11.92992546598083,31.987497502384024,1,35.03097166815718,35.53141777563688
12,668941,"Romero, JoJo",1008,1.2,0.25,0,1,0.25,0.315,0.191,0.071,1,4,74.6,6,2753,82.5,81.48,2,4,8,-1,5.39,103,150,117,145,310,326,296,"-0.213","0.213","68.8","7.8",5,1,1,0,0,0,3,60,1,20,3.81667,-0.49333,-0.3325,0.3325,"93.4",53,0,0,0,5.45,1.87,-0.48,1.55,0.4,0,"1.775",0.257,0.072,"-1.775",0.179,0.14300000000000002,0.178,0.124,50,"35.4",22.3241427857594,-26.3703310342799,34.54385143147251,0.25,31.642487608918827,44.72209020934762
5,669438,"Englert, Mason",725,0.7,1,1.5,1,2.5,1.46,1.325,0.904,2,2,93.9,22.5,2319,81.4,81.56,0,2,3,0.19999999999998863,6.2,111,151,125,147,305,323,293,"-2.255","2.255","72.2","8.2",2,2,1,0,0,1,0,0,0,0,3.574,-0.158,-0.522,-0.306,"98.3",301,50,50,50,5.78,-1.25,1.25,2.01,1,1,"45.1",0.904,2.282,"-45.1",0.096,0.09599999999999997,0.218,0.135,0,"40.0",20.665784162203423,-11.846277227927736,27.298815475265556,0.5,47.1841740636667,34.63168775660012
3,695418,"Lord, Brad",2129,0.1,,,,,0.707,0.707,,0,0,,,2664,82.3,80.93,0,0,3,-1.3999999999999915,5.13,113,153,128,149,305,323,301,"-0.901","0.901",,,2,0,0,0,0,0,0,0,1,50,3.65333,-0.31333,-0.6,-0.6,,,,,,5.39,-2.41,-1.56,3.39,1,,"30.033333333",1,,"-30.033333333",,0,,0,,"21.3",,,,,,
1,542888,"Armstrong, Shawn",1118,0.1,,,,,,,,,,,,2683,84.6,85.4,0,0,1,0.8000000000000114,6.8,119,154,122,151,300,310,282,"-0.043","0.043",,,,,,,,,,,,,3.47,-0.28,-0.95,-0.95,,,,,,6.05,-1.33,1.76,-1.34,,,"4.3",,,"-4.3",,,,,,"48.2",,,,,,
