"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
186,681517,"Leahy, Kyle",1352,13.8,0.255,0.059,0.351,0.314,0.246,0.282,0.251,13,51,87.7,21.7,2702,86.7,87.77,35,122,64,1.0999999999999943,6.99,104,148,116,145,305,324,292,"2.11","-2.11","68.8","7.3",54,37,10,3,0,0,16,29.6,1,1.9,2.76161,0.27584,-1.25844,-0.98909,"90.9",172,40.54054054054054,10.81081081081081,7.4074074074074066,5.74,-2.35,0.49,2.3,0.259,4,"-1.134408602",0.261,0.396,"1.134408602",0.004,-0.0020000000000000018,-0.082,-0.036,28.7,"44.0",10.38475592477957,-1.7746460929244892,31.185417188148048,0.5819672131147541,40.71474820338492,31.230823961404436
183,687888,"Walter, Brandon",815,22.5,0.238,0.167,0.276,0.405,0.304,0.311,0.257,10,42,78.1,7.3,2555,79.5,79.5,20,84,99,0,6.45,109,150,117,147,303,329,297,"-0.922","0.922","70.1","7.8",45,31,7,1,0,2,11,24.4,0,0,3.82448,-0.19851,-1.39011,0.69044,"91.4",91,26.666666666666668,6.666666666666667,4.444444444444445,5.45,2.47,-0.22,2.19,0.289,2,"0.503825137",0.307,0.396,"-0.503825137",-0.019,-0.018000000000000016,0.009,-0.007,23.8,"25.9",16.20086826177575,-15.547365921013245,32.77805814098364,0.4230769230769231,34.79459828047944,40.56475332856414
182,672391,"Ort, Kaleb",793,23,0.209,0.163,0.333,0.372,0.293,0.266,0.183,9,43,91.4,11,2481,83.9,83.33,33,83,99,-0.6000000000000085,6.18,110,149,120,146,302,328,297,"-0.695","0.695","67.6","7.7",48,23,6,1,0,2,20,41.7,5,10.4,3.46813,-0.19516,-0.93879,-0.57231,"92.5",137,52.17391304347826,8.695652173913043,4.166666666666666,5.87,-2.66,0.39,1.84,0.292,2,"0.381868132",0.268,0.327,"-0.381868132",0.026,0.023999999999999966,0.045,0.027,39.8,"42.8",16.391869209239005,-14.165398080355539,31.14080599935057,0.4074074074074074,38.200546063217345,39.44031828655601
181,592155,"Booser, Cam",572,31.6,0.14,0,0.222,0.14,0.168,0.213,0.16,6,43,83.1,18.6,2132,81.1,80.96,33,81,100,-0.09999999999999432,6.39,107,146,115,146,294,316,297,"3.609","-3.609","66.0","7.7",48,27,6,0,0,0,17,35.4,4,8.3,3.83503,-0.34144,-1.08989,-0.36492,"90.9",146,22.22222222222222,3.7037037037037033,2.083333333333333,5.59,2.94,-0.29,1.98,0.208,1,"-1.993922652",0.23,0.236,"1.993922652",-0.02,-0.02200000000000002,-0.096,-0.045,40.7,"32.1",15.48264110377255,-14.42137815064459,31.983858996848593,0.4177215189873418,38.214084694041226,38.98343833409588
174,605488,"Springs, Jeffrey",2849,6.1,0.088,0.029,0.111,0.118,0.106,0.165,0.144,3,34,85.2,27.2,2320,76.2,75.69,19,71,103,-0.5,6.12,111,150,117,148,297,325,297,"4.937","-4.937","68.6","7.8",35,27,2,1,0,0,7,20,1,2.9,3.98621,-0.02483,-1.24379,0.15195,"90.0",137,18.51851851851852,0,0,5.92,2.64,-0.07,2.12,0.114,0,"-2.837356322",0.169,0.206,"2.837356322",-0.056,-0.05500000000000001,-0.088,-0.059,26.8,"37.7",16.080323792485906,-17.01949137856051,30.78044541812925,0.5352112676056338,37.60091888795866,42.07898307783582
172,660271,"Ohtani, Shohei",753,22.8,0.229,0.125,0.333,0.354,0.253,0.2,0.168,11,48,81.9,20.7,2594,85,85.48,38,91,81,0.5,6.58,106,151,121,148,302,320,290,"3.302","-3.302","68.4","7.8",50,31,7,3,0,1,18,36,1,2,2.87669,0.28453,-1.09558,-0.66733,"91.1",156,22.58064516129032,3.225806451612903,2,5.63,-2.35,0.54,2.06,0.24,1,"-1.919767442",0.194,0.254,"1.919767442",0.061,0.045999999999999985,0.1,0.053,41.8,"32.7",17.476054454019344,-17.56158118461416,31.67776370607692,0.3977272727272727,38.9427946679159,41.51897256080995
170,683175,"Phillips, Connor",377,45.1,0.053,0.105,0.056,0.158,0.132,0.182,0.112,2,38,89.2,29.1,2435,85.8,84.98,41,77,93,-0.7999999999999972,5.83,111,148,115,147,298,323,293,"5.007","-5.007","67.3","7.9",41,19,0,1,0,1,19,46.3,2,4.9,3.13029,-0.02536,-1.26294,-0.51506,"91.2",167,31.57894736842105,5.263157894736842,2.4390243902439024,5.73,-1.77,0.55,1.62,0.122,1,"-2.945294118",0.177,0.223,"2.945294118",-0.059,-0.05499999999999999,-0.065,-0.05,53.2,"36.2",16.192707831883997,-15.047168329956444,32.89232630071167,0.5194805194805194,39.56026320798827,39.2898875690233
170,642152,"Trivino, Lou",843,20.2,0.172,0,0.25,0.172,0.17,0.19,0.184,5,29,80.3,23.9,2599,80.5,80.35,21,63,107,-0.09999999999999432,6.29,107,151,121,148,301,319,291,"2.003","-2.003","65.8","7.7",30,20,5,0,0,0,9,30,1,3.3,3.57724,-0.04611,-1.43194,-0.88747,"89.0",116,10,0,0,6.1,-1.22,0.61,2.13,0.2,0,"-1.178235294",0.211,0.211,"1.178235294",-0.012,-0.010999999999999982,-0.039,-0.02,33.3,"36.4",14.48912993486689,-15.782471335379645,31.90550795090757,0.6557377049180327,41.89700270873563,38.709699003728026
169,669387,"Mlodzinski, Carmen",1648,10.3,0.222,0.222,0.222,0.444,0.281,0.273,0.231,8,36,81.8,13,2551,83.9,83.83,16,70,99,-0.10000000000000853,6.34,107,148,111,147,295,316,295,"0.572","-0.572","68.9","7.4",36,29,4,2,0,2,7,19.4,0,0,2.86166,0.38964,-0.6924,-0.03192,"90.8",148,20.689655172413794,10.344827586206897,8.333333333333332,4.94,-3.05,0.04,2.24,0.222,3,"-0.338461538",0.231,0.415,"0.338461538",-0.009,-0.009000000000000008,0.029,0.008,22.9,"23.8",11.4502513155523,-9.781460254034492,31.70395167665312,0.5294117647058824,37.533123612188156,34.67129005893083
168,686993,"Sterner, Justin",1101,15.3,0.091,0.068,0.143,0.159,0.13,0.164,0.118,4,44,87.2,25.2,2738,81.5,81.37,39,84,84,-0.09999999999999432,6.43,112,149,122,147,303,326,298,"3.625","-3.625","65.2","7.8",47,22,3,0,0,1,23,48.9,1,2.1,3.22994,0.23347,-1.30625,-0.31363,"90.4",147,27.27272727272727,4.545454545454546,2.127659574468085,5.44,-2.98,0.91,1.68,0.128,1,"-2.157738095",0.158,0.196,"2.157738095",-0.027,-0.03,-0.037,-0.034,46.4,"35.9",15.034684276519757,-12.235540475109204,31.043473721705922,0.5119047619047619,41.21512655004251,39.17869011991931
