pitcher_id,pitcher_name,pitch_type,count,pitch_percent,rhh_percent,lhh_percent,start_speed,max_start_speed,ivb,hb,release_pos_z,release_pos_x,extension,tj_stuff_plus
663738,Daniel Lynch IV,CH,209,0.19209558823529413,0.300462249614792,0.03189066059225513,85.98038277511966,88.0,1.9272727272727281,15.072727272727281,5.6854904094824255,1.3632206780408826,6.669208357817912,103.99305954875204
493603,Adam Ottavino,SI,15,0.35714285714285715,0.46153846153846156,0.1875,92.34,93.2,6.426666666666667,17.82,5.385595308241637,2.557289834316445,7.080483250875093,100.69522118773696
670950,Trevor Richards,CH,36,0.3103448275862069,0.23376623376623376,0.46153846153846156,79.61388888888888,81.5,-0.04722222222222225,13.655555555555559,6.241905158578782,2.393310126225194,6.415783875670346,101.20092526450897
687362,Connor Gillispie,ST,139,0.2951167728237792,0.37727272727272726,0.22310756972111553,81.11726618705035,84.6,-2.3784172661870486,-14.775539568345321,5.49224287761692,1.939103609604446,5.746959040713917,100.9458520282328
666974,Yennier Cano,FS,71,0.0720081135902637,0.02586206896551724,0.13793103448275862,90.62816901408449,92.0,-4.266197183098591,13.15352112676056,5.915464373108175,2.2266039007037985,5.865757426677065,99.18465375668963
687362,Connor Gillispie,CH,73,0.15498938428874734,0.03636363636363636,0.2589641434262948,87.10273972602741,89.0,6.328767123287671,17.373972602739727,5.582045033207692,1.7716907642187916,5.809623113893439,100.09375977140354
680885,Spencer Schwellenbach,SI,157,0.09980928162746344,0.19941775836972345,0.022573363431151242,95.55031847133755,98.4,7.39044585987261,15.217834394904463,5.373879178201283,2.17016288751316,6.977942262507109,98.28469719929132
689225,Beau Brieske,SI,67,0.1654320987654321,0.3125,0.01015228426395939,95.70149253731341,98.0,15.74925373134328,12.820895522388055,6.14615560058953,1.2467285031184812,5.961247342937769,101.22730737230837
607536,Kyle Freeland,ST,318,0.12817412333736397,0.0820253164556962,0.308300395256917,83.60471698113203,87.2,-3.1770440251572345,-9.617295597484274,5.563495109074293,2.746255132681074,6.527906337072036,98.18051544110953
601713,Nick Pivetta,FS,5,0.00175377060680463,0.0,0.0035087719298245615,87.32,90.1,13.120000000000001,12.280000000000001,6.449944193788966,1.6994493367011632,6.784538905503179,91.53913024168098
657376,Clarke Schmidt,FC,496,0.40456769983686786,0.3614457831325301,0.4434108527131783,92.17540322580643,95.9,9.448185483870972,-1.1485887096774203,5.664428246683957,1.433792609315128,6.13137971507892,103.59952023118208
690997,Nolan McLean,FA,1,0.0013531799729364006,0.0,0.002398081534772182,80.6,80.6,13.4,10.4,5.570072929443338,2.9812657724870477,6.985175221461631,93.65647898213525
642528,Jonathan Loáisiga,CU,78,0.1670235546038544,0.2097902097902098,0.09944751381215469,86.00897435897437,90.6,0.312820512820513,-8.915384615384612,5.4390557090419485,2.289193675632288,6.4826980912491745,110.08404607556965
666659,Sauryn Lao,FF,55,0.2972972972972973,0.22857142857142856,0.3875,92.78181818181815,95.8,11.889090909090905,6.096363636363637,5.961439731513432,0.962067284133225,6.250476380147794,86.27806743005878
680730,Mitchell Parker,FF,1501,0.5548983364140481,0.5575087895529884,0.5476190476190477,92.95016655562956,96.4,17.98121252498339,5.800399733510987,6.334234180508623,1.2484407511070805,6.880711632877781,94.7558192702337
680689,Lyon Richardson,SI,196,0.29080118694362017,0.4156479217603912,0.09811320754716982,95.05357142857144,96.4,8.011224489795918,16.800510204081633,5.4722772944420575,1.3086331349981704,5.737855815800568,95.64046729058492
686654,Ty Adcock,FF,34,0.4146341463414634,0.375,0.44,97.11176470588234,99.1,17.04705882352941,5.5852941176470585,6.0312435991653075,1.1199998244637566,6.255963407566407,103.10882543021064
656848,Michael Petersen,FC,135,0.41033434650455924,0.48148148148148145,0.3413173652694611,89.21703703703697,92.6,3.4918518518518513,-3.1274074074074085,6.21321771175441,1.5077676194158398,6.521412179160528,110.14717986100933
701581,David Festa,CH,256,0.29024943310657597,0.20776255707762556,0.3716216216216216,87.76171875000001,90.8,7.328906250000003,12.740625000000009,5.946110287851607,2.3837855173386364,6.876281452305086,99.0245764118081
571760,Andrew Heaney,SL,341,0.1639423076923077,0.13738441215323646,0.23498233215547704,80.52170087976539,84.2,-0.43782991202346044,-3.1401759530791793,4.861171667130792,3.0355463490318435,6.181722477505892,95.5858994698314
682120,Tim Herrin,SL,134,0.17842876165113183,0.125,0.23931623931623933,87.3641791044776,90.0,2.237313432835822,-0.587313432835821,5.715926760237156,2.0852615718306278,6.384555847339144,98.87814834141739
663978,Chris Paddack,FC,180,0.07017543859649122,0.0773109243697479,0.064,88.64222222222216,91.3,10.299444444444445,-0.5411111111111111,6.063652582691437,2.0482884682078613,6.928156366086357,94.89538803941056
657376,Clarke Schmidt,SI,100,0.08156606851549755,0.11015490533562823,0.05581395348837209,92.62200000000001,95.9,3.9820000000000007,12.201999999999998,5.338664484129685,1.7516868986074434,6.246069485404633,95.40124048791093
676604,Tyler Zuber,SI,30,0.12244897959183673,0.1419753086419753,0.08433734939759036,93.91999999999999,95.7,7.2733333333333325,15.750000000000002,5.145324476165035,2.0981049709505375,6.15762288864673,96.94016828655072
664875,Justin Lawrence,FF,25,0.09259259259259259,0.026490066225165563,0.17647058823529413,94.884,96.1,9.432,12.764000000000001,4.380314204730994,2.672299812847964,6.411724840336842,96.86077353549814
663767,Chase Shugart,SI,138,0.1994219653179191,0.29545454545454547,0.031746031746031744,94.26884057971013,96.9,8.55507246376812,13.967391304347823,5.4148331216757555,2.13500397476987,6.2061778782890125,88.40556713600887
