"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
50,612434,"Castro, Miguel",105,47.6,0.182,0.364,0.125,0.545,0.404,0.386,0.22,2,11,92.8,18.8,2259,95.1,95.25,3,18,32,0.10000000000000853,6.68,112,150,121,148,296,314,292,"-1.094","1.094","69.3","7.3",15,9,0,1,0,1,2,13.3,4,26.7,1.9654,0.5846,1.4378,-0.079,"92.8",215,44.44444444444444,11.11111111111111,6.666666666666667,4.97,-2.39,-0.07,2.25,0.4,1,"2.188",0.428,0.443,"-2.188",-0.038,-0.02799999999999997,0.102,0.018,16.7,"9.4",4.383289513984974,6.484048479326287,32.99287908527898,0.4444444444444444,39.598049746931885,24.344977896617618
50,657044,"Thompson, Ryan",656,7.6,0.25,0,0.333,0.25,0.292,0.233,0.162,3,12,81,15.4,2185,91.1,91.93,3,19,31,0.8000000000000114,6.82,110,146,119,149,291,320,297,"-1.009","1.009","63.6","5.8",14,9,3,0,0,0,3,21.4,0,0,2.1688,0.5828,0.7802,-0.3302,"89.3",185,11.11111111111111,0,0,4,-3.98,-0.35,3.56,0.357,0,"2.018",0.282,0.183,"-2.018",0.088,0.07500000000000001,0.067,0.059,15.8,"-2.1",-2.640927787845534,19.19544504269179,29.041434898390314,0.21052631578947367,35.929577044153795,20.92882837948453
50,680951,"Nikhazy, Doug",108,46.3,0.333,0.444,0.429,0.778,0.497,0.447,0.283,3,9,97.4,21,1991,90.2,91.34,8,23,27,1.0999999999999943,7.17,113,152,124,147,300,313,303,"-2.196","2.196","69.8","6.9",11,7,0,2,1,0,2,18.2,2,18.2,1.4218,1.4022,0.6758,-0.3006,"93.3",230,57.14285714285714,28.57142857142857,18.181818181818183,5.52,3.01,0.08,3.1,0.455,2,"4.392",0.413,0.666,"-4.392",0.05,0.04200000000000004,0.112,0.05,34.8,"46.9",5.505714553603882,13.14313319974878,29.37007316856282,0.4782608695652174,36.97436640842063,21.958237899932634
49,625643,"López, Reynaldo",94,52.1,0.294,0.235,0.267,0.529,0.368,0.442,0.385,5,17,91.2,5.6,2108,95.6,95.33,1,27,22,-0.29999999999999716,6.44,109,150,120,151,290,321,295,"0.758","-0.758","70.7","6.8",18,16,3,1,0,1,1,5.6,1,5.6,1.05857,1.46735,0.62388,-0.10265,"93.3",157,43.75,6.25,5.555555555555555,5.71,-1.78,0.03,2.47,0.333,1,"-1.546938776",0.42,0.614,"1.546938776",-0.091,-0.08699999999999997,-0.085,-0.074,3.7,"40.5",4.1830169179035135,8.076492731292275,30.58103760246248,0.52,37.452506753439046,24.380215624411274
48,622780,"Perdomo, Angel",72,66.7,0.222,0,0.25,0.222,0.289,0.434,0.321,2,9,80.7,6,2390,92.6,92.93,5,24,24,0.30000000000001137,6.54,111,146,113,147,292,323,289,"0.17","-0.17","64.1","6.4",11,8,2,0,0,0,1,9.1,1,9.1,1.27396,1.39208,0.17894,-0.03681,"90.3",194,25,12.5,9.090909090909092,6.34,2.01,0.03,2.85,0.364,1,"-0.354166667",0.445,0.544,"0.354166667",-0.099,-0.08100000000000002,-0.322,-0.145,20.8,"39.9",2.3026906687560134,11.148849660426382,27.521683668418277,0.4166666666666667,37.08207846987081,24.048544950567027
48,592254,"De León, José",101,47.5,0.143,0,0.2,0.143,0.296,0.294,0.131,1,7,74,41.2,2237,90.6,91.39,2,19,29,0.8000000000000114,6.74,113,146,118,150,279,315,291,"0.629","-0.629","68.0","6.8",10,5,1,0,0,0,2,20,3,30,1.53271,1.24313,0.55271,-0.22979,"89.5",197,20,0,0,4.6,-2.22,0.35,2.84,0.4,0,"-1.310416667",0.391,0.152,"1.310416667",0.012,0.009000000000000008,-0.009,0.002,10.5,"23.5",8.67650558093896,3.3342466175221133,31.7783231840667,0.6842105263157895,32.433613402317434,24.221951700123693
48,672335,"Pérez, Cionel",441,10.9,0.714,0,0.714,0.714,0.638,0.42,0.41,5,7,82.8,-0.3,2075,95.5,94.94,3,23,25,-0.5999999999999943,6.03,108,145,118,143,303,324,298,"-3.175","3.175","70.8","6.7",8,7,5,0,0,0,0,0,1,12.5,1.26854,1.23875,0.57854,-0.36271,"88.5",148,14.285714285714285,0,0,5.58,1.3,-0.03,2.3,0.75,0,"6.614583333",0.484,0.46,"-6.614583333",0.304,0.266,0.254,0.218,13,"37.0",-0.5737213882126958,12.431465262796427,36.20179777769684,0.2608695652173913,35.10695142878913,20.806570211093014
47,489119,"Miley, Wade",205,22.9,0.417,0.083,0.5,0.5,0.421,0.48,0.422,5,12,99.2,19.7,2301,91.9,91.64,2,22,25,-0.30000000000001137,6.06,114,152,121,148,300,327,286,"-1.203","1.203","69.9","6.8",13,10,4,1,0,0,2,15.4,1,7.7,1.30426,1.38915,0.36681,-0.23915,"94.3",215,80,10,7.6923076923076925,6.25,1.68,-0.2,2.94,0.462,1,"2.559574468",0.467,0.666,"-2.559574468",-0.005,-0.0050000000000000044,-0.166,-0.059,9.1,"51.8",4.9969547609201586,8.278308216450586,30.663366817695497,0.45,35.54514204816986,22.77446685358647
47,687330,"Kelly, Kevin",592,7.9,0,0,0,0,0,0.096,0.101,0,15,78.9,13,2148,92.2,93.97,12,21,26,1.7999999999999972,7.28,111,147,125,152,293,321,299,"2.067","-2.067","64.6","5.8",15,4,0,0,0,0,11,73.3,0,0,1.80787,0.86915,0.86319,-0.6266,"90.3",194,25,0,0,4.18,-1.77,-0.33,3.69,0,0,"-4.39787234",0.101,0.117,"4.39787234",-0.101,-0.101,-0.117,-0.096,57.1,"12.4",-0.9577103514590597,25.344226440481112,27.242220426205023,0.3,38.266734642573475,15.510402886650338
47,687847,"Church, Marc",99,47.5,0.5,0.25,0.571,0.75,0.594,0.656,0.442,4,8,100.7,16.7,2133,96.1,96.68,1,13,34,0.6000000000000085,6.82,111,147,110,147,288,325,293,"-2.838","2.838","72.6","7.0",13,7,2,2,0,0,1,7.7,5,38.5,1.00851,1.47851,0.21889,-0.06644,"95.8",227,85.71428571428571,57.14285714285714,30.76923076923077,6.52,-0.6,-0.15,2.55,0.692,4,"6.038297872",0.657,1.092,"-6.038297872",0.058,0.03499999999999992,-0.342,-0.062,7.7,"61.5",5.378840509196266,7.03447709018172,29.933471680494762,0.5833333333333334,37.09684176792162,25.114442926547827
